TRAN_DATE|TRAN_ID|TRAN_TYPE|TRAN_SUB_TYPE|PART_TRAN_TYPE|ACID|TRAN_AMT|balance|channel|CIF_ID|ACCT_OPN_DATE|LIEN_AMT|customer_age
19/05/2026 18:30|ef504b0c7162bec8147419b352e03ede9b8d5959ff117166adadfb25105abef6|T|CI|D|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|4|-96|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|358570bb8ca4661f7cdc878da793467e0288dc78bfe6a12a95e33d328bab9494|T|CI|C|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|17500|17350|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|b499f2a90196fb8ef88a1bdc891ac03b7b9c8aba36dab5ac0dd242660f4e11e4|T|CI|D|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|25|-78|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|31493a3aabd1ce13793715df0829ea2c0c0d32dd1c73f5e4381a3ead64aec969|T|CI|D|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|14|-92|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|b8ddf1df1a12cf4253901ed5e8a74470f1d18d02eb9af33f0cda92df4decac74|T|CI|D|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|14|-110|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|9cd94b66426d78a84e17acf7563d526d37e06f3768258bfe776e183624224d75|T|CI|D|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|40|-150|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|7336e27a8174a8b09e18b8fa90b78719c74fe483f7a5fe2dd9a4065e25085337|T|CI|D|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|17|-207|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|a6e7cd651b68893cecedeedb9eeab272acf848bbf997b71b021bebc43bd3cc2c|T|CI|D|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|5000|43908|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|27a55d48852cc221a739174e8c420849a880882830e8ef9a29ccca7402b5a348|T|CI|D|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|92|-210|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|f289d21537425e76d3b65597ef054177aad59de9cfd48996a28048fb8a72ed13|T|CI|C|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|49000|48908|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|67226e73b47f64d5ae04c60b529919d706e1a8ce92a3e2edf033f8adfa65f398|T|CI|D|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|44000|-92|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|94069762cf8b5a763f1ec50e824cfabb646a41f88fe1270d83dde6a6f60639ad|T|CI|D|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|40|-190|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|4fac086053969da806b376c8ce2a3df69e6e72de631c66b1842484e9f2e6547c|T|CI|D|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|41|-248|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|e453b8f2b0e26dc17e7f41137a931b9c56759ebf8ab4b5685dd348ba40980fe7|T|CI|D|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|17500|-150|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|18e5f67748a2753d756409657742b8ac210fd8f101e3fca180ab3805255a3262|T|CI|C|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|50|-198|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|483c46967f1a79c10850a54c2a6bbe2db0d747d46fc9474a36d6d47975872bfd|T|CI|C|3ee08f9be084416e63a62ab68ddf4205885d8d838b12dc29ceaafaed95db1e89|80|-118|UPI|348e1a5558c00927e0c5e44f526b668238fc0d414b0b1b2ead5bf3f359a742ab|22/11/2021 18:30|0|22
19/05/2026 18:30|4128eb916e3f7b77a5ebece0b2cbb5a4a2ec353c873ccfa78f00f0f616fc4ce4|T|CI|C|4435127fe3b42fa247be821529321999f93841c95d90a48391bd5f22a265c39e|1010|-34218.75|UPI|bf3be665f9f216e262997f3381ff5797878bdbd7b38c34f08214698973cbd800|24/04/2022 18:30|0|50
19/05/2026 18:30|263e62093ca5ce256f83a8e623a6eab8bde4eb8c2f2283148108c00019cd3960|T|CI|D|4435127fe3b42fa247be821529321999f93841c95d90a48391bd5f22a265c39e|6000|-35668.75|UPI|bf3be665f9f216e262997f3381ff5797878bdbd7b38c34f08214698973cbd800|24/04/2022 18:30|0|50
19/05/2026 18:30|dfb2ca8a6ce378eb07820ad5bf5de6ef8cef39ed09744b3530e51c1ba1dca18f|T|CI|C|4435127fe3b42fa247be821529321999f93841c95d90a48391bd5f22a265c39e|5050|-29168.75|UPI|bf3be665f9f216e262997f3381ff5797878bdbd7b38c34f08214698973cbd800|24/04/2022 18:30|0|50
19/05/2026 18:30|470a55e547993ece2bea37816850555388ce95baadf7cda6e2909551435877ff|T|CI|C|4435127fe3b42fa247be821529321999f93841c95d90a48391bd5f22a265c39e|10000|-25668.75|UPI|bf3be665f9f216e262997f3381ff5797878bdbd7b38c34f08214698973cbd800|24/04/2022 18:30|0|50
19/05/2026 18:30|f6fc236420b8c21cecc5f3c532c36a596e29c68854095dad3e1737b976839b35|T|CI|D|4435127fe3b42fa247be821529321999f93841c95d90a48391bd5f22a265c39e|2500|-28168.75|UPI|bf3be665f9f216e262997f3381ff5797878bdbd7b38c34f08214698973cbd800|24/04/2022 18:30|0|50
19/05/2026 18:30|df36713e7eeb0fb05860cc396a9f6a63d80891bce3104448ea124debf4ea45e3|T|CI|C|4435127fe3b42fa247be821529321999f93841c95d90a48391bd5f22a265c39e|1010|-35228.75|UPI|bf3be665f9f216e262997f3381ff5797878bdbd7b38c34f08214698973cbd800|24/04/2022 18:30|0|50
19/05/2026 18:30|8f482e31b66bc0f0e6dcb119b2736e92f44da7590e0c461bc776ed185a185877|T|CI|D|4435127fe3b42fa247be821529321999f93841c95d90a48391bd5f22a265c39e|500|-29668.75|UPI|bf3be665f9f216e262997f3381ff5797878bdbd7b38c34f08214698973cbd800|24/04/2022 18:30|0|50
19/05/2026 18:30|bdca88413ccfa0e06dfbacb18fad9e3ea7cb45c2900ea4accfb183d8745f0556|T|CI|D|4435127fe3b42fa247be821529321999f93841c95d90a48391bd5f22a265c39e|300|-34468.75|UPI|bf3be665f9f216e262997f3381ff5797878bdbd7b38c34f08214698973cbd800|24/04/2022 18:30|0|50
